PROTEIN	SOURCE	LENGTH	UNIPROT_ID	Tm_(C)
Nucleoside diphosphate kinase	Escherichia coli	143	P0A763	37.53
Endonuclease 8	Escherichia coli	263	P50465	41.0
N-ethylmaleimide reductase	Escherichia coli	365	P77258	41.34
Endonuclease 4	Escherichia coli	285	P0A6C1	53.65
Oxygen-insensitive NADPH nitroreductase	Escherichia coli	240	P17117	47.04
Oxygen-insensitive NAD	Escherichia coli	217	P38489	38.87
Fe/S biogenesis protein NfuA	Escherichia coli	191	P63020	43.47
Na(+)/H(+) antiporter NhaA	Escherichia coli	388	P13738	40.8
Na(+)/H(+) antiporter NhaB	Escherichia coli	513	P0AFA7	43.23
Transcriptional activator protein NhaR	Escherichia coli	301	P0A9G2	40.51
Nickel-binding periplasmic protein	Escherichia coli	524	P33590	41.54
Nitrite reductase	Escherichia coli	847	P08201	38.03
Nitrite transporter NirC	Escherichia coli	268	P0AC26	48.21
Nitrite reductase	Escherichia coli	108	P0A9I8	42.57
Lipoprotein 28	Escherichia coli	272	P04846	39.39
Murein hydrolase activator NlpD	Escherichia coli	379	P0ADA3	44.72
Lipoprotein NlpE	Escherichia coli	236	P40710	50.04
Lipoprotein NlpI	Escherichia coli	294	P0AFB1	42.38
Bifunctional NAD	Escherichia coli	515	P31806	41.08
Ribonucleoside-diphosphate reductase 1 subunit alpha	Escherichia coli	761	P00452	39.02
Ribonucleoside-diphosphate reductase 1 subunit beta	Escherichia coli	376	P69924	62.34
Anaerobic ribonucleoside-triphosphate reductase	Escherichia coli	712	P28903	37.5
Transcriptional repressor NrdR	Escherichia coli	149	P0A8D0	40.98
Cytochrome c-552	Escherichia coli	478	P0ABK9	41.68
HTH-type transcriptional repressor NsrR	Escherichia coli	141	P0AF63	45.57
Endonuclease III	Escherichia coli	211	P0AB83	38.99
NADH pyrophosphatase	Escherichia coli	257	P32664	39.43
ADP compounds hydrolase NudE	Escherichia coli	186	P45799	41.18
ADP-ribose pyrophosphatase	Escherichia coli	209	Q93K97	41.5
GDP-mannose pyrophosphatase	Escherichia coli	191	P37128	39.09
NADH-quinone oxidoreductase subunit A	Escherichia coli	147	P0AFC3	42.38
NADH-quinone oxidoreductase subunit B	Escherichia coli	220	P0AFC7	43.05
NADH-quinone oxidoreductase subunit C/D	Escherichia coli	596	P33599	43.0
NADH-quinone oxidoreductase subunit F	Escherichia coli	445	P31979	49.66
NADH-quinone oxidoreductase subunit G	Escherichia coli	908	P33602	49.21
NADH-quinone oxidoreductase subunit I	Escherichia coli	180	P0AFD6	44.45
NADH-quinone oxidoreductase subunit J	Escherichia coli	184	P0AFE0	41.52
NADH-quinone oxidoreductase subunit K	Escherichia coli	100	P0AFE4	40.17
NADH-quinone oxidoreductase subunit L	Escherichia coli	613	P33607	40.37
NADH-quinone oxidoreductase subunit N	Escherichia coli	485	P0AFF0	42.87
Nucleoside permease NupC	Escherichia coli	400	P0AFF2	44.3
Nucleoside permease NupG	Escherichia coli	418	P0AFF4	44.09
Transcription termination/antitermination protein NusA	Escherichia coli	495	P0AFF6	40.04
Transcription antitermination protein NusB	Escherichia coli	139	P0A780	38.79
Transcription termination/antitermination protein NusG	Escherichia coli	181	P0AFG0	38.34
GTPase ObgE/CgtA	Escherichia coli	390	P42641	39.93
Outer membrane porin C	Escherichia coli	367	P06996	43.17
DNA-binding dual transcriptional regulator OmpR	Escherichia coli	239	P0AA16	40.54
Protease 7	Escherichia coli	317	P09169	44.57
Outer membrane protein W	Escherichia coli	212	P0A915	40.97
Phosphoethanolamine transferase OpgE	Escherichia coli	527	P75785	39.69
Periplasmic oligopeptide-binding protein	Escherichia coli	543	P23843	48.42
Oligopeptide transport system permease protein OppB	Escherichia coli	306	P0AFH2	45.17
Oligopeptide transport system permease protein OppC	Escherichia coli	302	P0AFH6	45.14
Oligopeptide transport ATP-binding protein OppD	Escherichia coli	337	P76027	40.13
Oligopeptide transport ATP-binding protein OppF	Escherichia coli	334	P77737	41.03
Oligoribonuclease	Escherichia coli	181	P0A784	47.63
Peroxiredoxin OsmC	Escherichia coli	143	P0C0L2	57.49
Trehalose-6-phosphate synthase	Escherichia coli	474	P31677	38.51
Hydrogen peroxide-inducible genes activator	Escherichia coli	305	P0ACQ4	41.93
Phenylacetic acid degradation protein PaaY	Escherichia coli	196	P77181	42.74
Aminodeoxychorismate synthase component 1	Escherichia coli	453	P05041	39.32
Aminodeoxychorismate lyase	Escherichia coli	269	P28305	40.3
3-methyl-2-oxobutanoate hydroxymethyltransferase	Escherichia coli	264	P31057	60.76
Pantothenate synthetase	Escherichia coli	283	P31663	40.2
2-dehydropantoate 2-reductase	Escherichia coli	303	P0A9J4	40.97
Sodium/pantothenate symporter	Escherichia coli	483	P16256	39.99
PanD regulatory factor	Escherichia coli	127	P37613	37.26
DNA topoisomerase 4 subunit A	Escherichia coli	752	P0AFI2	37.08
DNA topoisomerase 4 subunit B	Escherichia coli	630	P20083	39.14
D-alanyl-D-alanine endopeptidase	Escherichia coli	310	P0AFI5	38.51
Phosphoenolpyruvate carboxykinase	Escherichia coli	540	P22259	45.8
Protein-L-isoaspartate O-methyltransferase	Escherichia coli	208	P0A7A5	39.28
Poly(A) polymerase I (PAP I)	Escherichia coli	465	P0ABF1	40.12
Pyruvate dehydrogenase complex repressor	Escherichia coli	254	P0ACL9	40.05
4-hydroxythreonine-4-phosphate dehydrogenase	Escherichia coli	329	P19624	40.29
Erythronate-4-phosphate dehydrogenase	Escherichia coli	378	P05459	40.23
Pyridoxine/pyridoxamine 5'-phosphate oxidase	Escherichia coli	218	P0AFI7	48.17
Pyridoxine 4-dehydrogenase	Escherichia coli	286	P25906	39.8
Pyridoxine 5'-phosphate synthase	Escherichia coli	243	P0A794	42.61
Pyridoxine/pyridoxal/pyridoxamine kinase	Escherichia coli	283	P40191	50.16
Pyridoxal kinase PdxY	Escherichia coli	287	P77150	54.71
Cytosol aminopeptidase	Escherichia coli	503	P68767	53.92
Peptidase B	Escherichia coli	427	P37095	46.95
Cytosol non-specific dipeptidase	Escherichia coli	485	P15288	42.74
Peptidase E	Escherichia coli	229	P0A7C6	42.86
Aminopeptidase N	Escherichia coli	870	P04825	39.54
Xaa-Pro aminopeptidase	Escherichia coli	441	P15034	45.02
Xaa-Pro dipeptidase	Escherichia coli	443	P21165	49.51
Peptidase T	Escherichia coli	408	P29745	43.9
ATP-dependent 6-phosphofructokinase isozyme 1	Escherichia coli	320	P0A796	47.31
ATP-dependent 6-phosphofructokinase isozyme 2	Escherichia coli	309	P06999	42.9
Pyruvate formate-lyase 1-activating enzyme	Escherichia coli	246	P0A9N4	41.35
Formate acetyltransferase 1	Escherichia coli	760	P09373	41.2
Glucose-6-phosphate isomerase	Escherichia coli	549	P0A6T1	44.69
Phosphoglycerate kinase	Escherichia coli	387	P0A799	46.63
6-phosphogluconolactonase	Escherichia coli	331	P52697	43.57
Phosphoglucomutase	Escherichia coli	546	P36938	44.39
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	Escherichia coli	182	P0ABF8	40.65
Bifunctional chorismate mutase/prephenate dehydratase	Escherichia coli	386	P0A9J8	41.1
Phenylalanine--tRNA ligase alpha subunit	Escherichia coli	327	P08312	43.3
Phenylalanine--tRNA ligase beta subunit	Escherichia coli	795	P07395	43.23
Protein YjdN	Escherichia coli	147	P16681	49.48
Transcriptional regulatory protein PhoP	Escherichia coli	223	P23836	40.63
Sensor protein PhoQ	Escherichia coli	486	P23837	39.8
Phosphate-specific transport system accessory protein PhoU	Escherichia coli	241	P0A9K7	40.64
Low-affinity inorganic phosphate transporter 1	Escherichia coli	499	P0AFJ7	52.65
Low-affinity putrescine importer PlaP	Escherichia coli	452	P0AA47	43.76
Phospholipase A1	Escherichia coli	289	P0A921	41.07
Lysophospholipase L2	Escherichia coli	340	P07000	39.69
Inhibitor of g-type lysozyme	Escherichia coli	133	P76002	43.4
Glycerol-3-phosphate acyltransferase	Escherichia coli	807	P0A7A7	43.08
1-acyl-sn-glycerol-3-phosphate acyltransferase	Escherichia coli	245	P26647	40.73
Phosphate acyltransferase	Escherichia coli	356	P27247	43.65
Metalloprotease PmbA	Escherichia coli	450	P0AFK0	44.79
Signal transduction protein PmrD	Escherichia coli	88	P37590	41.4
Nicotinate phosphoribosyltransferase	Escherichia coli	400	P18133	39.27
Nicotinamide-nucleotide amidohydrolase PncC	Escherichia coli	165	P0A6G3	51.09
Polyribonucleotide nucleotidyltransferase	Escherichia coli	711	P05055	48.01
NAD(P) transhydrogenase subunit alpha	Escherichia coli	510	P07001	41.72
NAD(P) transhydrogenase subunit beta	Escherichia coli	462	P0AB67	41.43
DNA polymerase I	Escherichia coli	928	P00582	41.13
Spermidine/putrescine import ATP-binding protein PotA	Escherichia coli	378	P69874	48.25
Spermidine/putrescine transport system permease protein PotB	Escherichia coli	275	P0AFK4	49.67
Spermidine/putrescine transport system permease protein PotC	Escherichia coli	264	P0AFK6	51.65
Spermidine/putrescine-binding periplasmic protein	Escherichia coli	348	P0AFK9	61.74
Putrescine-binding periplasmic protein PotF	Escherichia coli	370	P31133	40.75
Pyruvate dehydrogenase [ubiquinone]	Escherichia coli	572	P07003	54.04
Phosphoenolpyruvate carboxylase	Escherichia coli	883	P00864	39.36
Peptidyl-prolyl cis-trans isomerase A	Escherichia coli	190	P0AFL3	41.39
Peptidyl-prolyl cis-trans isomerase B	Escherichia coli	164	P23869	40.91
Peptidyl-prolyl cis-trans isomerase C	Escherichia coli	93	P0A9L5	38.75
Peptidyl-prolyl cis-trans isomerase D	Escherichia coli	623	P0ADY1	43.64
Polyphosphate kinase	Escherichia coli	688	P0A7B1	39.01
Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase	Escherichia coli	454	P0ADR8	45.05
Pyrimidine/purine nucleoside phosphorylase	Escherichia coli	94	P0C037	40.75
Phosphoenolpyruvate synthase	Escherichia coli	792	P23538	40.77
Phosphoenolpyruvate synthase regulatory protein	Escherichia coli	277	P0A8A4	39.57
Exopolyphosphatase	Escherichia coli	513	P0AFL6	38.78
Intermembrane transport protein PqiB	Escherichia coli	546	P43671	61.16
Probable zinc protease PqqL	Escherichia coli	931	P31828	39.45
Tail-specific protease	Escherichia coli	682	P23865	39.04
NAD-dependent dihydropyrimidine dehydrogenase subunit PreT	Escherichia coli	412	P76440	41.77
Peptide chain release factor RF1	Escherichia coli	360	P0A7I0	40.82
Peptide chain release factor RF2	Escherichia coli	365	P07012	39.24
Peptide chain release factor RF3	Escherichia coli	529	P0A7I4	40.05
Primosomal protein N'	Escherichia coli	732	P17888	40.31
Primosomal replication protein N	Escherichia coli	104	P07013	41.25
Oligopeptidase A	Escherichia coli	680	P27298	41.87
Antitoxin PrlF	Escherichia coli	111	P15373	42.98
Ribosomal protein L11 methyltransferase	Escherichia coli	293	P0A8T1	40.63
50S ribosomal protein L3 glutamine methyltransferase	Escherichia coli	310	P39199	41.25
Gamma-glutamyl phosphate reductase	Escherichia coli	417	P07004	49.65
Glutamate 5-kinase	Escherichia coli	367	P0A7B5	38.1
Pyrroline-5-carboxylate reductase	Escherichia coli	269	P0A9L8	48.22
Proline/betaine transporter	Escherichia coli	500	P0C0L7	51.82
RNA chaperone ProQ	Escherichia coli	232	P45577	39.69
Proline--tRNA ligase	Escherichia coli	572	P16659	39.14
Glycine betaine/proline betaine transport system ATP-binding protein ProV	Escherichia coli	400	P14175	39.66
Glycine betaine/proline betaine-binding periplasmic protein	Escherichia coli	330	P0AFM2	42.55
2-methylisocitrate lyase	Escherichia coli	296	P77541	40.14
2-methylcitrate synthase	Escherichia coli	389	P31660	38.76
2-methylcitrate dehydratase	Escherichia coli	483	P77243	41.12
Gamma-aminobutyraldehyde dehydrogenase	Escherichia coli	474	P77674	48.98
Ribose-phosphate pyrophosphokinase	Escherichia coli	315	P0A717	44.65
Phosphatidylserine decarboxylase proenzyme	Escherichia coli	322	P0A8K1	50.18
Phosphate starvation-inducible protein PsiF	Escherichia coli	106	P0AFM4	39.93
Phage shock protein A	Escherichia coli	222	P0AFM6	46.55
Phage shock protein B	Escherichia coli	74	P0AFM9	43.28
Phage shock protein C	Escherichia coli	119	P0AFN2	40.53
Thiosulfate sulfurtransferase PspE	Escherichia coli	104	P23857	40.88
CDP-diacylglycerol--serine O-phosphatidyltransferase	Escherichia coli	451	P23830	39.25
Phosphate import ATP-binding protein PstB	Escherichia coli	257	P0AAH0	44.12
Phosphate-binding protein PstS	Escherichia coli	346	P0AG82	43.43
Phosphate acetyltransferase	Escherichia coli	714	P0A9M8	38.89
Peptidyl-tRNA hydrolase	Escherichia coli	194	P0A7D1	41.5
Protease 3	Escherichia coli	962	P05458	39.86
PTS system glucose-specific EIICB component	Escherichia coli	477	P69786	57.93
Phosphoenolpyruvate-protein phosphotransferase	Escherichia coli	575	P08839	38.49
Nitrogen regulatory protein	Escherichia coli	163	P69829	48.29
Phosphoenolpyruvate-dependent phosphotransferase system	Escherichia coli	748	P37177	39.31
Adenylosuccinate synthetase	Escherichia coli	432	P0A7D4	47.84
Adenylosuccinate lyase	Escherichia coli	456	P0AB89	40.81
Phosphoribosylaminoimidazole-succinocarboxamide synthase	Escherichia coli	237	P0A7D7	39.62
Phosphoribosylamine--glycine ligase	Escherichia coli	429	P15640	39.8
N5-carboxyaminoimidazole ribonucleotide mutase	Escherichia coli	169	P0AG18	41.08
Amidophosphoribosyltransferase	Escherichia coli	505	P0AG16	45.61
Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase	Escherichia coli	529	P15639	42.9
N5-carboxyaminoimidazole ribonucleotide synthase	Escherichia coli	355	P09029	41.92
Phosphoribosylformylglycinamidine synthase	Escherichia coli	1295	P15254	41.01
Phosphoribosylformylglycinamidine cyclo-ligase	Escherichia coli	345	P08178	42.96
Phosphoribosylglycinamide formyltransferase	Escherichia coli	212	P08179	39.56
HTH-type transcriptional repressor PurR	Escherichia coli	341	P0ACP7	42.5
Formyltetrahydrofolate deformylase	Escherichia coli	280	P37051	45.84
Bifunctional protein PutA [Includes: Proline dehydrogenase	Escherichia coli	1320	P09546	37.79
Sodium/proline symporter	Escherichia coli	502	P07117	41.29
Pyruvate kinase II	Escherichia coli	480	P21599	43.25
Pyruvate kinase I	Escherichia coli	470	P0AD61	47.25
Aspartate carbamoyltransferase catalytic subunit	Escherichia coli	311	P0A786	49.55
Dihydroorotase	Escherichia coli	348	P05020	50.3
Dihydroorotate dehydrogenase	Escherichia coli	336	P0A7E1	43.65
Orotate phosphoribosyltransferase	Escherichia coli	213	P0A7E3	49.04
Orotidine 5'-phosphate decarboxylase	Escherichia coli	245	P08244	40.84
CTP synthase	Escherichia coli	545	P0A7E5	40.5
Uridylate kinase	Escherichia coli	241	P0A7E9	49.64
Quinone oxidoreductase 1	Escherichia coli	327	P28304	44.47
Quinone oxidoreductase 2	Escherichia coli	286	P39315	40.97
S-adenosylmethionine:tRNA ribosyltransferase-isomerase	Escherichia coli	356	P0A7F9	38.63
7-cyano-7-deazaguanine synthase	Escherichia coli	231	P77756	40.24
7-carboxy-7-deazaguanine synthase	Escherichia coli	223	P64554	39.01
NADPH-dependent 7-cyano-7-deazaguanine reductase	Escherichia coli	282	Q46920	41.98
Prophage repressor RacR	Escherichia coli	158	P76062	40.96
DNA repair protein RadA	Escherichia coli	460	P24554	39.67
RNA polymerase-associated protein RapA	Escherichia coli	968	P60240	36.97
RNase adapter protein RapZ	Escherichia coli	284	P0A894	44.77
Replication-associated recombination protein A	Escherichia coli	447	P0AAZ4	38.17
UPF0125 protein RatB	Escherichia coli	96	P52119	48.64
30S ribosome-binding factor	Escherichia coli	133	P0A7G2	44.98
Ribonuclease BN	Escherichia coli	305	P0A8V0	48.53
Ribose import ATP-binding protein RbsA	Escherichia coli	501	P04983	39.54
Ribose import permease protein RbsC	Escherichia coli	321	P0AGI1	40.34
D-ribose pyranase	Escherichia coli	139	P04982	33.93
Ribokinase	Escherichia coli	309	P0A9J6	40.77
Nickel/cobalt homeostasis protein RcnB	Escherichia coli	112	P64534	52.12
Transcriptional repressor RcnR	Escherichia coli	90	P64530	41.08
Transcriptional regulatory protein RcsB	Escherichia coli	216	P0DMC7	39.32
Phosphotransferase RcsD	Escherichia coli	890	P39838	40.01
Outer membrane lipoprotein RcsF	Escherichia coli	134	P69411	47.6
dITP/XTP pyrophosphatase	Escherichia coli	197	P52061	42.58
Recombination-associated protein RdgC	Escherichia coli	303	P36767	44.8
Protein RecA	Escherichia coli	353	P0A7G6	37.12
RecBCD enzyme subunit RecC	Escherichia coli	1122	P07648	39.71
Single-stranded-DNA-specific exonuclease RecJ	Escherichia coli	577	P21893	44.76
Recombination protein RecR	Escherichia coli	201	P0A7H6	40.73
GTP pyrophosphokinase	Escherichia coli	744	P0AG20	38.68
Antitoxin RelB	Escherichia coli	79	P0C079	40.29
ATP-dependent DNA helicase Rep	Escherichia coli	673	P09980	38.49
Lipopolysaccharide 1,6-galactosyltransferase	Escherichia coli	359	P27127	39.94
Lipopolysaccharide heptosyltransferase 1	Escherichia coli	319	P24173	42.36
ADP-heptose--LPS heptosyltransferase 2	Escherichia coli	348	P37692	40.46
Lipopolysaccharide core biosynthesis protein RfaG	Escherichia coli	374	P25740	39.43
Lipopolysaccharide 1,3-galactosyltransferase	Escherichia coli	339	P27128	41.08
Lipopolysaccharide 1,2-glucosyltransferase	Escherichia coli	338	P27129	39.23
O-antigen ligase	Escherichia coli	419	P27243	40.18
Lipopolysaccharide core heptose	Escherichia coli	265	P25741	40.08
Lipopolysaccharide core heptosyltransferase RfaQ	Escherichia coli	344	P25742	39.28
Lipopolysaccharide core biosynthesis protein RfaS	Escherichia coli	311	P27126	40.12
Lipopolysaccharide core heptose	Escherichia coli	232	P27240	37.73
Lipopolysaccharide core biosynthesis protein RfaZ	Escherichia coli	283	P27241	40.25
Glucose-1-phosphate thymidylyltransferase 1	Escherichia coli	293	P37744	45.63
dTDP-glucose 4,6-dehydratase 1	Escherichia coli	361	P37759	37.65
dTDP-4-dehydrorhamnose 3,5-epimerase	Escherichia coli	185	P37745	37.56
dTDP-4-dehydrorhamnose reductase	Escherichia coli	299	P37760	37.06
dTDP-glucose 4,6-dehydratase 2	Escherichia coli	355	P27830	38.65
Glucose-1-phosphate thymidylyltransferase 2	Escherichia coli	293	P61887	41.26
ATP-dependent RNA helicase RhlB	Escherichia coli	421	P0A8J8	38.34
ATP-dependent RNA helicase RhlE	Escherichia coli	454	P25888	39.07
Transcription termination factor Rho	Escherichia coli	419	P0AG30	38.0
GTP cyclohydrolase-2	Escherichia coli	196	P0A7I7	50.53
3,4-dihydroxy-2-butanone 4-phosphate synthase	Escherichia coli	217	P0A7J0	39.43
Riboflavin synthase	Escherichia coli	213	P0AFU8	39.92
Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase	Escherichia coli	367	P25539	41.23
Bifunctional riboflavin kinase/FMN adenylyltransferase	Escherichia coli	313	P0AG40	40.82
2-iminobutanoate/2-iminopropanoate deaminase	Escherichia coli	128	P0AF93	42.73
Pyrimidine-specific ribonucleoside hydrolase RihA	Escherichia coli	311	P41409	51.4
Non-specific ribonucleoside hydrolase RihC	Escherichia coli	304	P22564	42.4
[Ribosomal protein S18]-alanine N-acetyltransferase	Escherichia coli	148	P0A944	38.51
[Ribosomal protein S5]-alanine N-acetyltransferase	Escherichia coli	194	P0A948	40.7
